Index,Date,Date_parsed,Year,U.S. Airline Traffic - Total - Seasonally Adjusted,U.S. Airline Traffic - International - Seasonally Adjusted,U.S. Airline Traffic - Domestic - Seasonally Adjusted,Transit Ridership - Other Transit Modes - Adjusted,Transit Ridership - Fixed Route Bus - Adjusted,Transit Ridership - Urban Rail - Adjusted,Freight Rail Intermodal Units,Freight Rail Carloads,Highway Vehicle Miles Traveled - All Systems,Highway Vehicle Miles Traveled - Total Rural,Highway Vehicle Miles Traveled - Other Rural,Highway Vehicle Miles Traveled - Rural Other Arterial,Highway Vehicle Miles Traveled - Rural Interstate,Unemployed - Seasonally Adjusted,Passenger Rail Passengers,Passenger Rail Passenger Miles,Passenger Rail Total Train Miles,Passenger Rail Employee Hours Worked,Passenger Rail Yard Switching Miles,Passenger Rail Total Reports,U.S. Waterway Tonnage,Transportation Services Index - Freight,Transportation Services Index - Passenger,Transportation Services Index - Combined,U.S.-Canada Incoming Truck Crossings,U.S.-Mexico Incoming Truck Crossings,U.S. marketing air carriers on-time performance (percent),U.S. Air Carrier Cargo (millions of revenue ton-miles) - International,Truck tonnage index,U.S. Air Carrier Cargo (millions of revenue ton-miles) - Domestic,U.S. Airline Traffic - Total - Non Seasonally Adjusted,U.S. Airline Traffic - International - Non Seasonally Adjusted,U.S. Airline Traffic - Domestic - Non Seasonally Adjusted,Transborder - Total North American Freight,Transborder - U.S. - Mexico Freight,Transborder - U.S. - Canada Freight
336,01/01/1975 12:00:00 AM,1975-01-01,1975,,,,,,,,,,,,,,,0.0,2624696.0,4134425.0,1501878.0,0.0,2.0,,,,,,,,,,,,,,,,
337,02/01/1975 12:00:00 AM,1975-02-01,1975,,,,,,,,,,,,,,,0.0,2275826.0,3600736.0,1371524.0,0.0,2.0,,,,,,,,,,,,,,,,
338,03/01/1975 12:00:00 AM,1975-03-01,1975,,,,,,,,,,,,,,,0.0,2520943.0,4067192.0,1516787.0,0.0,2.0,,,,,,,,,,,,,,,,
339,04/01/1975 12:00:00 AM,1975-04-01,1975,,,,,,,,,,,,,,,0.0,2478477.0,4000157.0,1583115.0,0.0,2.0,,,,,,,,,,,,,,,,
340,05/01/1975 12:00:00 AM,1975-05-01,1975,,,,,,,,,,,,,,,0.0,2561119.0,4050197.0,1544540.0,0.0,2.0,,,,,,,,,,,,,,,,
341,06/01/1975 12:00:00 AM,1975-06-01,1975,,,,,,,,,,,,,,,0.0,2549572.0,4013103.0,1639952.0,0.0,2.0,,,,,,,,,,,,,,,,
342,07/01/1975 12:00:00 AM,1975-07-01,1975,,,,,,,,,,,,,,,0.0,2641537.0,4050570.0,1760248.0,0.0,2.0,,,,,,,,,,,,,,,,
343,08/01/1975 12:00:00 AM,1975-08-01,1975,,,,,,,,,,,,,,,0.0,2653549.0,4075438.0,1678639.0,0.0,2.0,,,,,,,,,,,,,,,,
344,09/01/1975 12:00:00 AM,1975-09-01,1975,,,,,,,,,,,,,,,0.0,2463992.0,4012156.0,1621803.0,0.0,2.0,,,,,,,,,,,,,,,,
345,10/01/1975 12:00:00 AM,1975-10-01,1975,,,,,,,,,,,,,,,0.0,2487430.0,3819751.0,1506077.0,0.0,2.0,,,,,,,,,,,,,,,,
346,11/01/1975 12:00:00 AM,1975-11-01,1975,,,,,,,,,,,,,,,0.0,2476125.0,3650153.0,1497704.0,0.0,2.0,,,,,,,,,,,,,,,,
347,12/01/1975 12:00:00 AM,1975-12-01,1975,,,,,,,,,,,,,,,0.0,2677458.0,4840304.0,1793002.0,0.0,2.0,,,,,,,,,,,,,,,,
348,01/01/1976 12:00:00 AM,1976-01-01,1976,,,,,,,,,,,,,,,996828.0,202351881.0,2273275.0,3548703.0,0.0,2.0,,,,,,,,,,,,,,,,
349,02/01/1976 12:00:00 AM,1976-02-01,1976,,,,,,,,,,,,,,,887277.0,164519889.0,2251815.0,2916547.0,0.0,2.0,,,,,,,,,,,,,,,,
350,03/01/1976 12:00:00 AM,1976-03-01,1976,,,,,,,,,,,,,,,1056631.0,201489751.0,2251815.0,3192050.0,0.0,2.0,,,,,,,,,,,,,,,,
351,04/01/1976 12:00:00 AM,1976-04-01,1976,,,,,,,,,,,,,,,1152911.0,238652605.0,2251815.0,3190463.0,0.0,2.0,,,,,,,,,,,,,,,,
352,05/01/1976 12:00:00 AM,1976-05-01,1976,,,,,,,,,,,,,,,1149155.0,216748268.0,2216552.0,3193174.0,0.0,2.0,,,,,,,,,,,,,,,,
353,06/01/1976 12:00:00 AM,1976-06-01,1976,,,,,,,,,,,,,,,1160478.0,268086916.0,2216552.0,2107084.0,0.0,2.0,,,,,,,,,,,,,,,,
